우선순위,순번,카테고리,항목,설명,현재 상태,해야 할 일,예상 소요,검수 영향,의존성,담당,상태,메모
Tier 1 출시차단,1,식별,getAnonymousKey 통합,토스 유저 단위 영구 익명 ID,localStorage 랜덤 UUID,@apps-in-toss/web-framework getAnonymousKey 연동 + userIdService 분기,15분,Yes,-,개발,TODO,토스 샌드박스 앱에서 실제 검증 필수
Tier 1 출시차단,2,UI,TDS Navigation 바,상단 뒤로/닫기 표준 네비게이션,없음,TDS Navigation 컴포넌트로 헤더 위에 추가,30분,Yes,-,개발,TODO,비게임 출시 가이드 필수 항목
Tier 1 출시차단,3,자산,앱 아이콘 256x256,콘솔에 등록할 실제 아이콘,placeholder 이미지,디자이너에게 의뢰 또는 생성형 AI로 시안 → 256x256 PNG,1일,Yes,-,디자인,TODO,Toss 브랜딩 가이드 따라야 함
Tier 1 출시차단,4,자산,OG 공유 이미지,공유 시 미리보기 이미지,없음,1200x630 PNG 디자인 + 콘솔 등록,반나절,No,-,디자인,TODO,공유 기능 추가 시 더 중요해짐
Tier 1 출시차단,5,보안,서버측 길이 검증,DB CHECK 강화,일부 (40자 CHECK 있음),expires_at 30초 이내 CHECK 이미 있음 - 추가 검증 검토,30분,Yes,-,개발,일부완료,schema.sql 에 기본 CHECK 있음
Tier 1 출시차단,6,보안,서버측 욕설/PII 필터,클라이언트 우회 차단,클라이언트만,Postgres trigger 또는 Edge Function 으로 INSERT 시 검증,2시간,Yes,-,개발,TODO,욕설 사전 외부 import 또는 작성 필요
Tier 1 출시차단,7,보안,서버측 쿨타임,같은 user_id 의 빈번한 INSERT 차단,클라이언트만 (8초),RLS policy 또는 trigger 로 user_id 기준 마지막 메시지 시각 체크,2시간,Yes,6번,개발,TODO,악용 봇 방지 핵심
Tier 1 출시차단,8,정책,개인정보 처리방침 URL,수집 항목 고지,없음,페이지 작성 또는 외부 호스팅 → 콘솔 등록,1일,Yes,-,운영,TODO,수집: 메시지 텍스트 / 익명 식별자 / 좋아요 기록
Tier 1 출시차단,9,정책,이용약관 URL,서비스 약관,없음,템플릿 기반 작성 → 콘솔 등록,1일,Yes,-,운영,TODO,개인정보처리방침과 함께
Tier 1 출시차단,10,정책,고객센터 연락처,콘솔 등록 필수,없음,이메일 또는 채팅 채널 결정 후 콘솔에 등록,30분,Yes,-,운영,TODO,개인 이메일도 가능
